country,fruit_dietary_intake,vegetables_dietary_intake,legumes_dietary_intake,nuts_dietary_intake,whole_grains_dietary_intake,fish_dietary_intake,dairy_dietary_intake,red_meat_dietary_intake,salt_legislation_policy,sugar_tax_policy,sodium_policy,gdp_per_capita_mean_2011_2021,obesity_mean_2011_2016,overweight_mean_2011_2016,underweight_mean_2011_2016,blood_pressure_mean_2011_2015,Risk_factor_obese_2018
Egypt,88.4,147.7,8.9,2.0,22.1,14.3,134.7,29.9,Yes,No,Yes,11289.99,30.18,61.73,1.57,25.2,26922.17
Eritrea,57.3,69.3,28.3,10.1,36.8,52.7,76.9,21.5,No,No,No,1734.32,4.25,20.24,17.96,28.66,165.33
Spain,64.3,103.4,21.0,8.4,22.0,66.0,732.7,56.9,No,Yes,Yes,37820.66,22.79,60.59,1.0,20.11,12797.33
Estonia,105.2,293.3,6.0,8.1,107.4,30.2,1557.0,79.2,No,No,Yes,32701.75,20.31,54.88,1.6,28.13,528.83
Ethiopia,38.6,88.8,34.5,1.7,177.1,4.9,81.3,10.6,Yes,Yes,No,2155.71,3.88,19.48,16.34,29.88,1589.17
Finland,150.2,125.0,6.1,3.0,57.2,38.5,750.7,65.3,No,Yes,Yes,46830.52,21.19,56.97,1.02,20.25,1765.0
Fiji,109.3,210.4,29.0,4.4,49.4,37.3,79.6,21.0,Yes,Yes,Yes,12160.48,28.64,62.26,2.02,21.78,557.5
France,150.8,155.4,13.4,2.4,33.4,30.2,671.1,46.1,No,Yes,Yes,45508.06,20.6,58.48,1.85,23.17,11440.17
Micronesia (Federated States of),145.4,138.3,27.9,2.9,34.3,59.3,54.1,27.9,,No,No,3224.99,43.97,74.61,0.99,24.55,69.5
Gabon,69.9,122.2,2.6,20.2,50.2,31.8,82.6,32.4,Yes,No,No,15351.56,14.03,38.67,9.27,26.04,174.83
